;model_name;config;dropout;train_loss;train_rmse;train_mae;train_mape;valid_loss;valid_rmse;valid_mae;valid_mape;test_rmse;test_mae;test_mape;epochs;batch_train;input_shape;total_time;time_step;splits
0;03_1_l-1;{'name': '03_1_l-1', 'layers': [{'type': 'lstm', 'cells': 1, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;1.0055174658409005;0;0.9061060611237871;0;1.1660374321225213;0;0.9886856455265022;0;0;0;0;3/50;8;(6580, [1], 1);10.759670734405518;0;2004-10-01 00:00:00-04:00
1;03_2_l-1_d-0.1;{'name': '03_2_l-1_d-0.1', 'layers': [{'type': 'lstm', 'cells': 1, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;1.000738417282474;0;0.9053813488106597;0;1.1602983847260475;0;0.9872741190398612;0;0;0;0;5/50;8;(6580, [1], 1);10.169113636016846;0;2004-10-01 00:00:00-04:00
2;03_3_l-1_d-0.2;{'name': '03_3_l-1_d-0.2', 'layers': [{'type': 'lstm', 'cells': 1, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.9971043074384649;0;0.904180665282493;0;1.1642384196563464;0;0.986829404242155;0;0;0;0;5/50;8;(6580, [1], 1);10.143092155456543;0;2004-10-01 00:00:00-04:00
3;03_4_l-1_l-5;{'name': '03_4_l-1_l-5', 'layers': [{'type': 'lstm', 'cells': 1, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;1.0013973112345467;0;0.9059181554429799;0;1.1365344324489919;0;0.9807934681089913;0;0;0;0;2/50;8;(6580, [1], 1);11.494300127029419;0;2004-10-01 00:00:00-04:00
4;03_5_l-1_l-5_d-0.1;{'name': '03_5_l-1_l-5_d-0.1', 'layers': [{'type': 'lstm', 'cells': 1, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;1.0036750276173865;0;0.9064831053413519;0;1.1433598206537525;0;0.9827867593707108;0;0;0;0;2/50;8;(6580, [1], 1);11.988698244094849;0;2004-10-01 00:00:00-04:00
5;03_6_l-1_l-5_d-0.2;{'name': '03_6_l-1_l-5_d-0.2', 'layers': [{'type': 'lstm', 'cells': 1, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.99596509332896;0;0.905509289999501;0;1.1434716049854348;0;0.9822992778769354;0;0;0;0;2/50;8;(6580, [1], 1);12.00476360321045;0;2004-10-01 00:00:00-04:00
6;03_7_l-1_l-10;{'name': '03_7_l-1_l-10', 'layers': [{'type': 'lstm', 'cells': 1, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.9939655840034542;0;0.9050655518078152;0;1.1362278585026904;0;0.9800079628461744;0;0;0;0;2/50;8;(6580, [1], 1);11.297126054763794;0;2004-10-01 00:00:00-04:00
7;03_8_l-1_l-10_d-0.1;{'name': '03_8_l-1_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 1, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.9803232446675243;0;0.9033533821171178;0;1.1311425212316397;0;0.9775638295019545;0;0;0;0;1/50;8;(6580, [1], 1);12.128844499588013;0;2004-10-01 00:00:00-04:00
8;03_9_l-1_l-10_d-0.2;{'name': '03_9_l-1_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 1, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.9971733382679409;0;0.9059861002540879;0;1.1311694327287558;0;0.9780251383781433;0;0;0;0;2/50;8;(6580, [1], 1);12.148889780044556;0;2004-10-01 00:00:00-04:00
9;03_10_l-1_l-5;{'name': '03_10_l-1_l-5', 'layers': [{'type': 'lstm', 'cells': 1, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;1.005952225607398;0;0.9069213612191945;0;1.1379415679995606;0;0.9812525023774403;0;0;0;0;2/50;8;(6580, [1], 1);11.341135263442993;0;2004-10-01 00:00:00-04:00
10;03_11_l-1_l-5_d-0.1;{'name': '03_11_l-1_l-5_d-0.1', 'layers': [{'type': 'lstm', 'cells': 1, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.9803088580266683;0;0.9034995703439944;0;1.1319608415772275;0;0.9784080204440326;0;0;0;0;1/50;8;(6580, [1], 1);12.260992050170898;0;2004-10-01 00:00:00-04:00
11;03_12_l-1_l-5_d-0.2;{'name': '03_12_l-1_l-5_d-0.2', 'layers': [{'type': 'lstm', 'cells': 1, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.9965505235825628;0;0.9047669271477088;0;1.140385874160906;0;0.9815746273209409;0;0;0;0;3/50;8;(6580, [1], 1);12.375062227249146;0;2004-10-01 00:00:00-04:00
12;03_13_l-1_l-5_l-5;{'name': '03_13_l-1_l-5_l-5', 'layers': [{'type': 'lstm', 'cells': 1, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.9869276278830589;0;0.9044739534699083;0;1.1324863385681698;0;0.9782068395033116;0;0;0;0;1/50;8;(6580, [1], 1);15.853214025497437;0;2004-10-01 00:00:00-04:00
13;03_14_l-1_l-5_l-5_d-0.1;{'name': '03_14_l-1_l-5_l-5_d-0.1', 'layers': [{'type': 'lstm', 'cells': 1, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.9763720376717102;0;0.9025762938076239;0;1.1302098817214734;0;0.977268339293759;0;0;0;0;1/50;8;(6580, [1], 1);16.99824023246765;0;2004-10-01 00:00:00-04:00
14;03_15_l-1_l-5_l-5_d-0.2;{'name': '03_15_l-1_l-5_l-5_d-0.2', 'layers': [{'type': 'lstm', 'cells': 1, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.9956257726464953;0;0.9049925300940916;0;1.131079466604605;0;0.9776975596096458;0;0;0;0;2/50;8;(6580, [1], 1);16.80703592300415;0;2004-10-01 00:00:00-04:00
15;03_16_l-1_l-5_l-10;{'name': '03_16_l-1_l-5_l-10', 'layers': [{'type': 'lstm', 'cells': 1, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.9978368481151239;0;0.9059501908561016;0;1.13167880093906;0;0.9778138148348506;0;0;0;0;2/50;8;(6580, [1], 1);18.879894018173218;0;2004-10-01 00:00:00-04:00
